"GENDER","AGE","MARSTAT","EDUCATION","ETHNICITY","SMARSTAT","SGENDER","SAGE","SEDUCATION","NUMHH","INCOME","TOTINCOME","CHARITY","FACE","FACECVLIFEPOLICIES","CASHCVLIFEPOLICIES","BORROWCVLIFEPOL","NETVALUE"
1,30,1,16,3,2,2,27,16,3,43000,43000,0,20000,0,0,0,0
1,50,1,9,3,1,2,47,8,3,12000,0,0,130000,0,0,0,0
1,39,1,16,1,2,2,38,16,5,120000,90000,500,1500000,0,0,0,0
1,43,1,17,1,1,2,35,14,4,40000,40000,0,50000,75000,0,5,0
1,34,2,11,2,1,2,31,14,4,28000,0,0,220000,0,0,0,0
1,29,1,16,1,2,2,31,17,3,1e+05,84000,0,6e+05,0,0,0,0
1,72,1,17,1,2,2,70,14,2,112000,8460000,12000,1e+05,0,0,0,0
1,51,1,16,1,2,2,52,14,4,15000,3e+05,10000,2500000,2e+05,37000,1,3
1,58,0,14,1,0,0,0,0,1,32000,0,0,250000,0,0,0,0
1,73,1,12,2,2,2,65,16,2,25000,41000,1000,50000,0,0,0,0
1,35,2,12,2,1,2,31,12,6,40000,0,0,90000,40000,950,5,0
1,60,1,16,1,2,2,55,14,2,66000,66000,1200,10000,0,0,0,0
1,46,2,17,1,3,1,37,16,4,120000,196000,0,2e+06,5e+05,5000,5,0
0,43,0,13,2,0,0,0,0,3,13000,0,0,50000,0,0,0,0
1,50,1,17,1,2,2,49,16,2,2e+05,160000,3500,1500000,0,0,0,0
1,56,0,14,2,0,0,0,0,1,50000,0,0,150000,0,0,0,0
1,32,1,7,3,1,2,42,9,4,45000,45000,0,1e+05,0,0,0,0
0,64,0,13,1,0,0,0,0,1,42000,0,600,60000,10000,0,5,0
1,62,0,16,1,0,0,0,0,1,225000,0,4000,1100000,0,0,0,0
1,61,1,17,1,2,2,59,17,2,102000,357000,3400,30000,0,0,0,0
0,54,0,13,7,0,0,0,0,7,34000,0,1200,1e+05,0,0,0,0
0,60,0,17,1,0,0,0,0,1,70000,0,800,75000,75000,16000,5,0
1,30,1,17,1,2,2,31,17,2,270000,150000,2500,1e+06,1e+06,4000,5,0
1,52,1,16,1,1,2,52,17,2,292000,365000,1000,1e+06,0,0,0,0
1,60,1,13,1,2,2,41,14,3,95000,1e+05,2000,2e+05,10000,600,5,0
1,43,1,17,1,2,2,40,17,6,7870000,10820000,509000,2700000,0,0,0,0
1,55,1,17,1,2,2,61,12,2,105000,106000,2300,150000,15000,8400,5,0
1,50,1,16,1,2,2,49,17,4,90000,90000,0,102000,450000,50000,5,0
1,34,1,16,1,1,2,38,16,5,84000,85000,0,4e+05,0,0,0,0
1,50,1,12,1,2,2,43,15,3,93000,128000,0,5e+05,0,0,0,0
1,56,1,17,3,2,2,56,16,4,155000,3e+05,10000,9e+05,1e+06,13000,5,0
1,58,1,17,1,2,2,57,17,2,170000,215000,2000,75000,0,0,0,0
1,42,1,13,1,2,2,40,12,4,53000,53000,500,10000,49000,5800,5,0
1,37,1,12,1,2,2,50,17,2,110000,0,700,1e+05,60000,30000,1,2
1,62,1,17,1,2,2,61,16,2,2e+05,310000,10000,1500000,0,0,0,0
1,49,1,14,1,1,2,48,14,5,105000,113000,0,50000,0,0,0,0
1,56,0,14,1,0,0,0,0,1,58000,0,0,2e+05,0,0,0,0
1,64,1,17,1,2,2,62,16,2,240000,380000,10000,50000,30000,25000,1,3
1,48,1,16,1,2,2,44,14,2,58000,59000,1200,50000,4000,4000,5,0
1,52,1,16,1,1,2,58,16,3,60000,72000,1200,4e+05,0,0,0,0
1,48,2,10,1,1,2,42,12,4,52000,0,0,50000,0,0,0,0
1,41,1,16,1,2,2,33,16,4,45000,49000,0,1200000,525000,5000,5,0
1,29,1,12,2,2,2,28,16,4,40000,0,0,1e+05,0,0,0,0
1,40,1,16,1,2,2,34,14,4,91000,93000,2900,4e+05,0,0,0,0
1,28,1,16,1,2,2,25,14,2,27000,49000,0,40000,0,0,0,0
1,33,1,15,1,2,2,31,17,4,155000,155000,4000,7e+05,0,0,0,0
1,42,1,14,1,1,2,43,16,4,102000,112000,8000,360000,0,0,0,0
1,59,1,17,1,1,2,53,17,2,30000,78000,0,180000,1e+06,900,5,0
1,40,1,17,1,2,2,40,17,3,190000,250000,2000,2e+05,0,0,0,0
1,38,1,16,1,1,2,35,16,4,63000,46000,1400,1e+05,50000,10000,5,0
1,58,1,13,1,1,2,58,12,2,58000,58000,2000,26000,55000,4000,5,0
1,62,2,12,2,1,2,52,12,2,41000,0,500,20000,0,0,0,0
1,45,1,16,1,2,2,42,17,7,5e+05,563000,8500,2e+06,2e+06,20000,5,0
1,47,1,17,1,2,2,48,17,4,90000,5e+05,20000,2500000,150000,20000,5,0
1,48,0,13,2,0,0,0,0,1,40000,0,0,50000,0,0,0,0
1,35,0,16,1,0,0,0,0,1,43000,0,0,41000,0,0,0,0
1,54,1,16,1,1,2,50,12,2,90000,92000,0,110000,0,0,0,0
1,49,1,13,1,2,2,47,14,3,72000,59000,0,115000,0,0,0,0
1,43,1,12,1,1,2,41,12,5,14000,68000,4000,3e+05,50000,6000,5,0
1,49,1,14,1,2,2,44,12,2,16000,61000,500,10000,0,0,0,0
1,37,1,16,3,2,2,35,16,4,86000,88000,1000,250000,0,0,0,0
1,31,1,12,1,2,2,30,14,3,60000,60000,0,2500000,72000,0,5,0
1,52,1,12,2,1,2,47,9,2,28000,46000,0,20000,0,0,0,0
1,41,1,11,1,2,2,40,12,2,44000,44000,0,10000,0,0,0,0
1,34,0,16,1,0,0,0,0,2,28000,0,0,7000,0,0,0,0
1,46,1,16,7,2,2,37,16,3,158000,124000,1200,634000,0,0,0,0
1,31,1,14,1,2,2,29,16,3,82000,91000,9800,650000,0,0,0,0
1,41,1,17,1,2,2,40,17,5,2e+05,104000,3500,1500000,0,0,0,0
1,53,1,16,1,2,2,53,16,4,476000,611000,10000,3e+06,250000,20000,5,0
0,58,0,16,1,0,0,0,0,1,82000,0,2000,350000,0,0,0,0
1,47,1,9,3,2,2,46,6,3,45000,45000,0,1e+05,0,0,0,0
1,37,1,12,1,2,2,41,16,5,62000,75000,7500,1e+06,0,0,0,0
1,44,1,17,1,1,2,41,16,5,320000,422000,2000,3e+06,0,0,0,0
1,51,1,17,1,2,2,52,17,4,320000,3e+06,75000,1e+07,0,0,0,0
1,62,1,16,1,2,2,66,15,2,98000,66000,4000,3e+05,0,0,0,0
1,52,1,14,1,1,2,47,12,2,113000,56000,500,250000,0,0,0,0
1,50,1,17,1,2,2,46,17,5,1e+07,20830000,245000,2e+06,0,0,0,0
1,46,1,16,1,2,2,48,16,5,120000,121000,5500,750000,75000,2000,5,0
1,61,1,17,7,1,2,57,16,2,150000,150000,10000,5e+05,0,0,0,0
1,23,1,10,1,1,2,22,12,3,34000,0,0,1e+05,0,0,0,0
1,31,1,17,7,2,2,26,17,2,1e+05,51000,1000,1e+05,0,0,0,0
1,47,1,16,1,1,2,51,14,4,52000,62000,0,5e+05,5e+05,550,5,0
1,51,1,13,1,1,2,50,13,2,96000,105000,1800,280000,0,0,0,0
1,51,1,16,1,1,2,38,13,4,250000,157000,0,42000,0,0,0,0
1,38,1,17,1,1,2,39,17,4,123000,123000,1200,750000,0,0,0,0
1,35,1,12,1,2,2,32,16,2,28000,28000,0,10000,0,0,0,0
1,39,1,17,1,1,2,37,16,8,3e+05,3e+05,40000,1750000,0,0,0,0
1,47,1,17,1,2,2,47,17,3,104000,135000,5300,1e+05,0,0,0,0
1,26,1,16,1,2,2,26,16,2,33000,35000,0,3e+05,1e+05,0,5,0
1,55,1,17,1,2,2,55,17,5,1e+05,264000,8100,3100000,110000,40000,5,0
1,50,1,17,7,2,2,48,17,2,1010000,664000,25000,1800000,4200000,1200000,5,0
1,40,0,8,2,0,0,0,0,1,36000,0,0,1e+05,0,0,0,0
0,59,0,15,1,0,0,0,0,1,40000,0,500,50000,20000,3000,5,0
1,65,1,14,1,2,2,61,12,2,79000,68000,3100,87000,0,0,0,0
1,41,1,3,3,1,2,42,12,5,40000,43000,0,225000,0,0,0,0
1,55,1,13,1,2,2,49,12,4,82000,76000,1500,125000,0,0,0,0
1,41,1,12,1,2,2,40,14,4,96000,96000,1700,125000,0,0,0,0
1,52,1,14,1,1,2,36,17,2,180000,94000,1000,160000,0,0,0,0
1,57,1,16,1,2,2,54,16,2,394000,397000,6100,5000,0,0,0,0
1,35,1,14,7,1,2,26,12,5,34000,34000,0,50000,0,0,0,0
1,61,1,17,1,1,2,60,16,2,145000,237000,860,250000,250000,250000,5,0
1,37,2,12,1,1,2,62,14,3,47000,0,3000,5000,0,0,0,0
1,27,1,12,1,1,2,26,8,5,25000,25000,0,1e+05,0,0,0,0
1,66,1,14,1,2,2,63,12,2,112000,688000,0,10000,12000,12000,5,0
1,35,1,12,2,1,2,32,12,5,65000,0,0,20000,0,0,0,0
1,60,1,16,1,2,2,59,17,2,30000,32530000,42000,5250000,5250000,8e+05,5,0
1,45,1,16,1,2,2,45,16,4,185000,133000,12000,4e+05,0,0,0,0
1,59,1,17,1,1,2,62,13,2,173000,173000,1000,50000,0,0,0,0
1,82,1,16,1,2,2,78,14,2,420000,1030000,69000,4e+05,0,0,0,0
0,59,0,15,1,0,0,0,0,1,25000,0,0,5000,0,0,0,0
1,28,1,16,1,2,2,30,14,4,38000,27000,4000,5e+05,0,0,0,0
0,61,0,12,2,0,0,0,0,2,28000,0,0,40000,0,0,0,0
1,51,1,17,1,2,2,46,16,4,250000,151000,1000,3500000,0,0,0,0
1,50,1,14,1,1,2,43,16,3,126000,116000,5000,2e+05,225000,17000,5,0
1,50,1,14,1,1,2,49,16,2,88000,52000,700,3e+05,0,0,0,0
1,52,1,16,7,1,2,51,14,5,95000,130000,690,25000,0,0,0,0
1,32,1,16,1,1,2,31,16,3,138000,95000,1000,5e+06,0,0,0,0
1,60,1,14,1,1,2,59,16,2,104000,102000,800,284000,150000,1000,5,0
1,27,1,11,1,1,2,26,14,4,55000,47000,1000,50000,0,0,0,0
0,67,0,14,1,0,0,0,0,3,5000,0,0,5000,0,0,0,0
1,70,1,17,1,1,2,71,16,2,20000,34000,0,35000,60000,60000,5,0
0,58,0,12,1,0,0,0,0,1,36000,0,0,10000,0,0,0,0
1,33,0,17,1,0,0,0,0,1,76000,0,0,247000,0,0,0,0
1,60,1,13,1,2,2,58,14,2,51000,82000,3100,52000,0,0,0,0
1,36,1,10,2,1,2,45,12,4,44000,0,0,1e+05,0,0,0,0
1,66,1,13,1,2,2,63,12,2,19000,48000,0,35000,0,0,0,0
1,44,2,14,1,3,2,44,14,2,60000,0,0,2e+05,0,0,0,0
1,43,1,14,1,1,2,38,16,5,497000,6460000,34000,2100000,3.8e+07,70000,5,0
0,37,0,13,2,0,0,0,0,3,17000,0,0,15000,0,0,0,0
1,41,0,12,1,0,0,0,0,1,18000,0,0,23000,0,0,0,0
0,62,0,17,1,0,0,0,0,1,61000,0,2800,9500,0,0,0,0
0,47,0,16,1,0,0,0,0,3,34000,0,0,50000,0,0,0,0
0,53,0,16,2,0,0,0,0,1,63000,0,500,60000,0,0,0,0
1,77,1,10,1,1,2,65,9,2,4000,25000,0,10000,0,0,0,0
1,46,1,17,7,2,2,43,15,4,320000,366000,5000,5e+05,2e+06,2e+05,5,0
1,47,1,15,2,1,2,48,17,3,1e+05,0,1200,30000,0,0,0,0
0,51,0,16,1,0,0,0,0,1,42000,0,0,40000,0,0,0,0
1,43,1,15,1,1,2,43,12,4,52000,71000,1000,3000,102000,3000,5,0
1,55,1,14,1,2,2,48,13,2,54000,4200000,1e+05,250000,0,0,0,0
1,46,1,16,1,1,2,45,16,5,60000,63000,1200,1850000,0,0,0,0
1,69,1,12,1,1,2,67,14,2,4000,16000,2600,50000,1e+05,5800,5,0
0,43,0,17,1,0,0,0,0,1,110000,0,5000,150000,0,0,0,0
0,24,0,16,1,0,0,0,0,2,15000,0,0,50000,0,0,0,0
1,38,1,17,1,2,2,34,16,5,50000,40000,2000,1e+05,0,0,0,0
1,62,1,17,1,2,2,59,17,2,310000,355000,2800,50000,0,0,0,0
0,45,0,17,1,0,0,0,0,1,65000,0,500,72000,0,0,0,0
0,35,0,17,1,0,0,0,0,1,54000,0,600,120000,0,0,0,0
1,50,1,12,3,1,2,52,14,3,92000,72000,800,220000,0,0,0,0
1,34,1,12,1,1,2,33,16,4,110000,84000,500,2e+05,0,0,0,0
1,42,1,14,1,2,2,40,12,6,254000,430000,30000,8e+05,1e+05,1000,5,0
1,37,1,16,1,2,2,35,16,6,110000,56000,1000,1100000,0,0,0,0
1,73,1,17,1,2,2,70,17,2,55000,233000,25000,2500,260000,160000,5,0
0,46,1,16,2,2,1,47,0,1,157000,0,3600,5e+05,0,0,0,0
1,48,0,16,1,0,0,0,0,1,72000,0,0,150000,0,0,0,0
1,67,1,17,1,2,2,69,15,2,140000,167000,5000,150000,150000,150000,5,0
1,47,1,15,7,1,2,49,13,2,50000,41000,0,23000,0,0,0,0
1,60,1,12,3,2,2,58,12,2,13000,44000,0,50000,63000,7600,5,0
1,49,1,17,1,2,2,35,16,4,2750000,3990000,20000,4e+06,0,0,0,0
0,48,0,16,2,0,0,0,0,2,61000,0,5000,3e+05,0,0,0,0
1,69,1,17,7,2,2,61,12,2,750000,5e+06,20000,1e+05,0,0,0,0
0,72,0,12,1,0,0,0,0,1,5000,0,1400,2500,0,0,0,0
0,25,0,16,1,0,0,0,0,1,33000,0,0,25000,0,0,0,0
1,51,1,14,1,2,2,51,14,4,190000,370000,50000,5e+06,2e+06,2300,5,0
1,55,1,12,2,1,2,48,12,4,44000,45000,0,425000,0,0,0,0
1,54,1,17,1,1,2,50,12,3,60000,46000,3000,580000,0,0,0,0
1,39,1,16,1,2,2,40,16,3,130000,120000,1000,3e+05,0,0,0,0
1,39,1,13,1,1,2,43,14,4,66000,66000,0,335000,75000,3500,5,0
1,39,1,17,7,2,2,35,17,3,247000,136000,0,820000,0,0,0,0
1,68,1,13,1,2,2,66,10,2,4000,12000,500,10000,0,0,0,0
0,22,0,12,1,0,0,0,0,2,10000,0,0,20000,0,0,0,0
1,54,1,16,1,2,2,51,16,3,140000,103000,3500,4e+05,0,0,0,0
1,64,1,15,1,2,2,51,15,2,250000,776000,5000,800,0,0,0,0
1,36,0,14,1,0,0,0,0,2,26000,0,550,1e+05,0,0,0,0
1,60,1,6,3,2,2,51,10,4,20000,13000,0,4000,0,0,0,0
1,42,1,12,1,1,2,40,12,5,73000,73000,0,1e+05,0,0,0,0
1,49,1,16,1,2,2,47,16,3,950000,4120000,20000,2e+06,6420000,60000,5,0
1,51,1,3,1,1,2,50,3,2,70000,50000,0,40000,120000,50000,5,0
1,58,1,12,3,2,2,48,12,2,50000,46000,0,183000,0,0,0,0
1,61,0,12,1,0,0,0,0,1,13000,0,0,50000,0,0,0,0
1,38,1,12,1,1,2,39,12,4,49000,39000,0,5e+05,0,0,0,0
1,47,1,17,1,2,2,48,14,4,389000,331000,11000,1e+06,2e+05,12000,5,0
1,54,1,13,1,2,2,52,14,4,85000,0,0,20000,0,0,0,0
1,59,1,17,1,2,2,58,17,2,110000,343000,5000,4e+05,0,0,0,0
1,52,1,17,1,2,2,48,16,5,310000,7580000,21000,3e+06,1020000,46000,5,0
0,58,0,14,1,0,0,0,0,1,24000,0,500,20000,0,0,0,0
1,38,1,17,1,1,2,38,17,2,275000,484000,1000,1e+06,0,0,0,0
0,30,0,14,2,0,0,0,0,4,36000,0,0,25000,1e+05,10000,5,0
1,61,1,17,1,2,2,57,17,3,2e+05,173000,15000,1500000,50000,22000,1,3
1,50,1,17,1,1,2,46,16,3,207000,444000,3700,2e+06,5e+05,13000,5,0
1,55,1,17,1,2,2,37,17,4,6e+05,0,60000,2e+06,0,0,0,0
1,42,1,17,1,2,2,43,17,4,157000,4810000,123000,2100000,40000,10000,5,0
1,42,1,14,1,2,2,37,12,5,85000,85000,0,126000,1e+05,7000,5,0
1,23,1,12,1,1,2,24,14,4,61000,33000,600,110000,0,0,0,0
1,33,1,12,3,2,2,20,12,4,34000,34000,0,170000,0,0,0,0
1,31,1,17,2,2,2,29,12,3,60000,82000,1000,1e+06,0,0,0,0
1,56,1,17,1,2,2,55,14,2,36000,373000,15000,750000,40000,40000,5,0
1,48,1,17,1,2,2,49,16,4,260,188000,27000,2130000,0,0,0,0
1,64,1,10,1,1,2,64,12,2,32000,20000,600,30000,0,0,0,0
1,52,1,12,3,1,2,51,15,3,29000,33000,0,75000,75000,7000,5,0
1,41,1,12,1,1,2,44,12,5,63000,0,750,130000,0,0,0,0
1,57,1,14,1,1,2,57,14,2,95000,64000,0,150000,1e+05,7500,5,0
1,74,1,16,1,1,2,67,16,2,775000,1200000,150000,6e+06,2e+05,8000,5,0
1,37,0,16,2,0,0,0,0,1,39000,0,0,50000,0,0,0,0
1,63,1,17,7,1,2,60,16,2,1450000,1600000,35000,1500000,1200000,5e+05,5,0
1,38,1,12,3,1,2,42,16,8,27000,27000,500,125000,2e+05,550,5,0
1,55,1,2,1,2,2,41,12,3,80000,81000,0,20000,0,0,0,0
1,30,1,14,1,2,2,29,16,4,42000,42000,800,1e+05,0,0,0,0
0,56,0,14,2,0,0,0,0,4,25000,0,0,75000,0,0,0,0
1,40,0,16,1,0,0,0,0,1,95000,0,7000,10000,0,0,0,0
1,45,1,14,1,2,2,42,17,4,115000,115000,0,5e+05,0,0,0,0
1,44,0,14,2,0,0,0,0,1,30000,0,0,25000,0,0,0,0
1,52,1,12,1,1,2,46,12,2,56000,56000,500,25000,0,0,0,0
1,48,1,11,1,1,2,50,13,2,55000,55000,0,10000,0,0,0,0
0,42,0,13,1,0,0,0,0,2,35000,0,0,11000,0,0,0,0
0,61,0,17,2,0,0,0,0,2,40000,0,3600,10000,0,0,0,0
1,44,1,17,1,2,2,41,17,4,206000,714000,2500,1250000,0,0,0,0
1,59,1,16,1,2,2,63,14,2,260,91000,680,1e+05,0,0,0,0
1,42,1,16,1,2,2,39,13,4,111000,111000,3000,1440000,0,0,0,0
0,29,0,16,2,0,0,0,0,1,27000,0,0,1e+05,0,0,0,0
1,41,1,16,1,1,2,42,16,2,148000,0,1000,250000,2e+05,4000,5,0
1,56,1,16,1,2,2,55,16,2,1110000,52730000,5500,2e+06,2.5e+07,27000,5,0
1,26,1,16,2,2,2,23,16,3,3980000,8500000,259000,5e+06,0,0,0,0
1,30,2,12,1,1,2,27,14,3,75000,0,0,1e+05,0,0,0,0
1,61,1,17,1,2,2,64,14,2,17000,60000,3500,4e+05,0,0,0,0
1,38,1,12,1,1,2,39,13,6,78000,78000,0,225000,0,0,0,0
1,49,1,16,1,2,2,35,16,4,435000,705000,35000,450000,1500000,50000,5,0
1,56,1,14,1,2,2,52,14,3,2000,60000,1500,50000,0,0,0,0
1,61,1,14,1,2,2,59,13,2,114000,481000,51000,1800000,3e+05,40000,5,0
1,62,1,13,1,2,2,61,12,2,72000,4700000,150000,1e+07,4e+05,62000,5,0
1,39,2,17,1,3,2,43,16,3,85000,0,1200,10000,0,0,0,0
0,40,0,16,2,0,0,0,0,3,25000,0,2500,250000,0,0,0,0
1,20,2,14,1,3,2,19,14,2,500,0,0,2600,0,0,0,0
0,44,1,16,1,2,1,44,0,1,35000,0,0,50000,0,0,0,0
1,47,0,12,1,0,0,0,0,2,21000,0,0,98000,5000,5000,5,0
1,67,1,16,1,2,2,66,10,2,3000,1140000,141000,2500000,1e+07,50000,5,0
0,46,0,11,2,0,0,0,0,1,38000,0,0,140000,0,0,0,0
0,27,0,16,1,0,0,0,0,2,8000,0,0,85000,0,0,0,0
1,39,1,12,1,2,2,40,12,5,47000,41000,0,50000,25000,3000,1,3
1,46,1,12,1,1,2,41,12,2,45000,42000,0,10000,0,0,0,0
1,30,1,12,3,1,2,31,12,5,50000,0,0,91000,0,0,0,0
1,56,1,17,1,2,2,55,16,2,10000,770000,41000,8500000,0,0,0,0
1,45,1,17,7,2,2,42,17,6,2e+05,175000,1500,1e+07,0,0,0,0
1,38,1,16,1,1,2,37,14,2,95000,96000,3900,2e+05,0,0,0,0
1,46,1,17,1,1,2,42,17,6,120000,125000,1000,150000,50000,50000,5,0
1,58,1,16,1,1,2,59,17,2,56000,78000,0,2e+05,0,0,0,0
1,38,1,13,1,1,2,38,14,6,60000,60000,0,150000,0,0,0,0
1,44,0,12,1,0,0,0,0,3,30000,0,1300,90000,0,0,0,0
1,47,1,16,7,1,2,50,16,4,97000,124000,600,1e+06,0,0,0,0
1,62,0,16,1,0,0,0,0,1,834000,0,45000,1.4e+07,0,0,0,0
1,45,1,17,1,2,2,44,17,4,242000,216000,3100,1500000,0,0,0,0
1,45,1,14,3,2,2,38,11,6,57000,48000,0,265000,0,0,0,0
1,32,1,14,1,1,2,33,14,4,71000,72000,1500,2e+05,0,0,0,0
1,56,1,16,2,1,2,36,14,3,70000,51000,1000,3e+05,0,0,0,0
0,24,1,14,1,2,1,28,0,3,50000,0,0,2e+05,0,0,0,0
1,67,1,17,1,2,2,65,14,2,350000,1200000,25000,4e+06,0,0,0,0
1,34,1,12,1,2,2,34,12,4,106000,76000,500,250000,0,0,0,0
1,51,1,14,3,2,2,50,12,9,52000,52000,0,50000,0,0,0,0
1,42,1,14,1,1,2,39,12,5,40000,40000,2000,6e+05,0,0,0,0
1,43,1,16,7,2,2,38,15,4,82000,78000,1400,3e+05,0,0,0,0
1,80,1,16,1,2,2,73,14,2,36000,220000,6000,1e+05,1e+05,75000,5,0
1,58,1,14,1,2,2,57,12,2,125000,1e+05,3000,125000,0,0,0,0
1,24,1,16,1,2,2,25,16,2,43000,0,1500,41000,0,0,0,0
1,58,1,17,1,2,2,58,17,2,850000,1290000,60000,1500000,0,0,0,0
1,52,1,16,1,2,2,48,12,2,21000,20000,0,150000,0,0,0,0
1,47,0,16,2,0,0,0,0,3,102000,0,970,4e+05,0,0,0,0
1,56,1,11,1,2,2,53,12,2,53000,53000,0,10000,0,0,0,0
1,34,1,12,2,1,2,34,12,5,40000,0,0,10000,0,0,0,0
1,22,0,11,1,0,0,0,0,1,10000,0,0,10000,0,0,0,0
0,53,0,17,1,0,0,0,0,1,60000,0,4000,1e+06,0,0,0,0
0,61,0,13,1,0,0,0,0,1,40000,0,5000,5000,0,0,0,0
1,37,0,17,1,0,0,0,0,1,244000,0,500,6e+05,0,0,0,0
1,43,1,16,2,2,2,42,16,3,35000,35000,2000,40000,0,0,0,0
1,63,1,16,1,2,2,55,15,4,66000,160000,4000,2e+05,6e+05,6000,5,0
1,47,1,12,1,2,2,42,12,3,80000,55000,3000,530000,0,0,0,0
1,82,0,12,7,0,0,0,0,1,38000,0,1000,10000,0,0,0,0
